GEOID_TRACT_20,GEOID_TRACT_10
13063040632,13063040616
13063040633,13063040616
13063040634,13063040612
13063040635,13063040612
13063040636,13063040608
13063040637,13063040606
13063040637,13063040608
13063040638,13063040608
13063040639,13063040608
13063980000,13063040202
13063980000,13063040308
13063980000,13063980000
13065970100,13065970100
13065970100,13065970200
13065970200,13065970100
13065970200,13065970200
13067030104,13015960801
13067030104,13015960802
13067030104,13057091103
13067030104,13067030104
13067030107,13057091103
13067030107,13067030107
13067030108,13067030101
13067030109,13067030101
13067030110,13067030103
13067030111,13067030103
13067030111,13067030224
13067030112,13067030106
13067030113,13067030106
13067030220,13067030220
13067030233,13067030233
13067030235,13067030235
13067030236,13067030236
13067030240,13067030214
13067030240,13067030215
13067030241,13067030214
13067030242,13067030215
13067030243,13067030215
13067030244,13067030218
13067030244,13067030219
13067030245,13067030226
13067030246,13067030227
13067030247,13067030228
13067030248,13067030228
13067030248,13067030601
13067030249,13067030230
13067030250,13067030231
13067030251,13067030231
13067030252,13067030239
13067030253,13067030239
13067030254,13067030226
13067030255,13067030226
13067030256,13067030230
13067030257,13067030230
13067030258,13067030227
13067030259,13067030227
13067030260,13067030224
13067030261,13067030103
13067030261,13067030224
13067030262,13067030209
13067030263,13067030209
13067030264,13067030218
13067030265,13067030218
13067030266,13067030219
13067030267,13067030219
13067030268,13067030234
13067030269,13067030234
13067030270,13067030209
13067030270,13067030232
13067030270,13067030233
13067030271,13067030232
13067030272,13067030222
13067030273,13067030222
13067030274,13067030223
13067030274,13067030226
13067030275,13067030223
13067030275,13067030226
13067030276,13067030238
13067030277,13067030238
13067030278,13067030226
13067030278,13067030229
13067030278,13067030601
13067030319,13067030319
13067030322,13067030322
13067030324,13067030310
13067030324,13067030324
13067030326,13067030326
13067030327,13067030327
13067030329,13067030329
13067030329,13067030504
13067030331,13067030331
13067030332,13067030332
13067030334,13067030334
13067030335,13067030335
13067030337,13067030337
13067030340,13067030340
13067030341,13067030341
13067030342,13067030342
13067030343,13067030343
13067030344,13067030344
13067030345,13067030339
13067030345,13067030345
13067030346,13067030310
13067030347,13067030310
13067030348,13067030313
13067030349,13067030313
13067030350,13067030314
13067030351,13067030318
13067030352,13067030318
13067030353,13067030320
13067030353,13067030339
13067030354,13067030320
13067030354,13067030408
13067030355,13067030339
13067030356,13067030339
13067030357,13067030330
13067030358,13067030330
13067030359,13067030328
13067030360,13067030328
13067030361,13067030312
13067030361,13067030507
13067030362,13067030312
13067030363,13067030311
13067030364,13067030311
13067030365,13067030333
13067030366,13067030333
13067030367,13067030314
13067030368,13067030314
13067030369,13067030336
13067030370,13067030336
13067030405,13067030405
13067030407,13067030407
13067030408,13067030408
13067030409,13067030409
13067030410,13067030410
13067030411,13067030411
13067030412,13067030412
13067030413,13067030413
13067030414,13067030414
13067030505,13067030504
13067030505,13067030505
13067030506,13067030502
13067030506,13067030506
13067030507,13067030507
13067030508,13067030502
13067030509,13067030502
13067030510,13067030504
13067030511,13067030504
13067030602,13067030601
13067030602,13067030602
13067030603,13067030601
13067030604,13067030601
13067030700,13067030700
13067030800,13067030800
13067030800,13067031001
13067030906,13067030901
13067030907,13067030901
13067030908,13067030905
13067030909,13067030905
13067030910,13067030904
13067030911,13067030904
13067030912,13067030800
13067030912,13067030902
13067031001,13067031001
13067031001,13067031113
13067031004,13067031004
13067031005,13067031005
13067031006,13067031002
13067031007,13067031002
13067031101,13067031101
13067031110,13067031110
13067031111,13067031111
13067031112,13067031112
13067031113,13067031113
13067031114,13067031114
13067031115,13067031115
13067031116,13067031116
13067031117,13067031106
13067031117,13067031117
13067031117,13067031307
13067031118,13067031117
13067031118,13067031118
13067031119,13067031106
13067031119,13067031405
13067031120,13067031106
13067031120,13067031117
13067031121,13067031108
13067031122,13067031108
13067031207,13067031207
13067031209,13067031209
13067031212,13067031212
13067031213,13067031205
13067031214,13067031205
13067031215,13067031205
13067031215,13067031206
13067031216,13067031208
13067031217,13067031207
13067031217,13067031208
13067031218,13067031211
13067031219,13067031211
13067031220,13067031206
13067031221,13067031206
13067031221,13067031307
13067031306,13067031306
13067031308,13067031308
13067031314,13067031313
13067031315,13067031307
13067031315,13067031313
13067031316,13067031312
13067031317,13067031312
13067031318,13067031311
13067031319,13067031311
13067031320,13067031310
13067031321,13067031310
13067031322,13067031309
13067031323,13067031309
13067031324,13067031307
13067031325,13067031307
13067031409,13067031409
13067031410,13067031405
13067031411,13067031405
13067031412,13067031406
13067031413,13067031406
13067031414,13067031404
13067031415,13067031404
13067031416,13067031408
13067031416,13067031409
13067031417,13067031408
13067031417,13097080103
13067031506,13067031506
13067031507,13067031503
13067031507,13067031507
13067031510,13067031503
13067031511,13067031505
13067031511,13067031509
13067031512,13067031509
13067031513,13067031505
13067031514,13067031505
13067031515,13067031508
13067031516,13067031508
13067031517,13067031503
13067031518,13067031503
13069010100,13069010100
13069010200,13069010200
13069010301,13069010300
13069010302,13069010300
13069010401,13069010400
13069010402,13069010400
13069010500,13069010500
13069010600,13069010600
13069010701,13069010700
13069010702,13069010700
13069010801,13069010801
13069010802,13069010300
13069010802,13069010802
13071970101,13071970100
13071970101,13071970300
13071970102,13071970100
13071970200,13071970200
13071970301,13071970300
13071970302,13071970300
13071970400,13071970300
13071970400,13071970400
13071970500,13071970500
13071970601,13071970600
13071970602,13071970600
13071970702,13071970702
13071970703,13071970701
13071970703,13071970702
13071970704,13071970701
13071970800,13071970800
13071970901,13071970900
13071970902,13071970900
13073030103,13073030103
13073030105,13073030105
13073030106,13073030105
13073030106,13073030106
13073030107,13073030102
13073030108,13073030102
13073030201,13073030201
13073030201,13073030306
13073030202,13073030106
13073030202,13073030202
13073030203,13073030203
13073030304,13073030304
13073030306,13073030306
13073030306,13073030307
13073030307,13073030307
13073030308,13073030308
13073030310,13073030309
13073030311,13073030103
13073030311,13073030201
13073030311,13073030309
13073030312,13073030302
13073030313,13073030302
13073030313,13073030505
13073030401,13073030401
13073030403,13073030402
13073030404,13073030402
13073030404,13189950100
13073030503,13073030503
13073030504,13073030504
13073030505,13073030505
13073030505,13245010204
13073030507,13073030506
13073030508,13073030506
13073030508,13245010204
13073030603,13073030603
13075960100,13075960100
13075960200,13075960200
13075960200,13075960400
13075960301,13075960300
13075960302,13075960300
13075960400,13075960400
13077170101,13077170100
13077170102,13077170100
13077170200,13077170200
13077170303,13077170303
13077170304,13077170304
13077170307,13077170305
13077170308,13077170305
13077170308,13077170403
13077170309,13077170306
13077170310,13077170306
13077170403,13077170304
13077170403,13077170403
13077170404,13077170404
13077170405,13077170405
13077170406,13077170406
13077170407,13077170402
13077170408,13077170402
13077170408,13077170406
13077170408,13121010400
13077170501,13077170501
13077170502,13077170502
13077170503,13077170503
13077170603,13077170501
13077170603,13077170603
13077170604,13077170601
13077170604,13077170602
13077170604,13077170603
13077170605,13077170601
13077170605,13077170603
13077170606,13077170602
13077170607,13077170602
13077170701,13077170700
13077170702,13077170700
13077170801,13077170801
13077170802,13077170802
13077170802,13199970700
13079070100,13079070100
13079070201,13079070201
13079070202,13079070202
13081010100,13081010100
13081010201,13081010201
13081010202,13081010202
13081010300,13081010300
13081010400,13081010400
13081010500,13081010500
13083040102,13083040102
13083040103,13083040101
13083040103,13083040200
13083040104,13083040101
13083040104,13083040200
13083040200,13083040101
13083040200,13083040200
13083040300,13083040102
13083040300,13083040300
13085970101,13085970100
13085970102,13085970100
13085970103,13085970100
13085970203,13085970201
13085970203,13085970202
13085970204,13085970201
13085970205,13085970202
13085970206,13085970201
13085970206,13085970202
13087970100,13087970100
13087970100,13087970400
13087970200,13087970200
13087970301,13087970300
13087970302,13087970300
13087970400,13087970400
13087970600,13087970600
13087970700,13087970700
13087970800,13087970800
13089020100,13089020100
13089020100,13089021502
13089020100,13089021504
13089020100,13089022401
13089020200,13089020200
13089020200,13089022401
13089020200,13089022403
13089020200,13121001500
13089020300,13089020300
13089020300,13089022403
13089020400,13089020400
13089020500,13089020500
13089020600,13089020600
13089020700,13089020700
13089020801,13089020300
13089020801,13089020801
13089020801,13089022700
13089020802,13089020802
13089020802,13089022700
13089020802,13089023101
13089020802,13089023601
13089020901,13089020900
13089020902,13089020900
13089020902,13089023700
13089020902,13089023801
13089020902,13089023803
13089021101,13089021101
13089021103,13089021102
13089021104,13089021102
13089021204,13089021204
13089021204,13089021301
13089021208,13089021208
13089021208,13089021209
13089021210,13089021210
13089021211,13089021211
13089021211,13121010108
13089021211,13135050304
13089021211,13135050315
13089021213,13089021213
13089021213,13121010122
13089021217,13089021217
13089021217,13089021306
13089021219,13089021202
13089021219,13089021215
13089021220,13089021202
13089021220,13089021218
13089021221,13089021209
13089021222,13089021209
13089021223,13089021215
13089021224,13089021218
13089021225,13089021218
13089021226,13089021202
13089021226,13089021216
13089021227,13089021216
13089021228,13089021214
13089021229,13089021214
13089021229,13121010106
13089021230,13089021215
13089021301,13089021202
13089021301,13089021217
13089021301,13089021218
13089021301,13089021301
13089021301,13089021306
13089021305,13089021305
13089021305,13135050304
13089021306,13089021306
13089021307,13089021307
13089021308,13089021204
13089021308,13089021308
13089021309,13089021303
13089021310,13089021303
13089021405,13089021405
13089021409,13089021409
13089021410,13089021410
13089021411,13089021411
13089021412,13089021412
13089021415,13089021415
13089021415,13121009404
13089021416,13089021416
13089021417,13089021417
13089021418,13089021414
13089021419,13089021414
13089021420,13089021413
13089021421,13089021413
13089021502,13089020100
13089021502,13089021502
13089021503,13089021503
13089021505,13089021504
13089021505,13089022402
13089021506,13089021504
13089021602,13089021602
13089021604,13089021604
13089021606,13089021603
13089021607,13089021603
13089021608,13089021605
13089021609,13089021605
13089021703,13089021703
13089021707,13089021704
13089021708,13089021704
13089021709,13089021705
13089021709,13089021706
13089021710,13089021706
13089021711,13089021705
13089021712,13089021705
13089021808,13089021808
13089021808,13089021809
13089021812,13089021812
13089021812,13089021813
13089021812,13089021814
13089021813,13089021813
13089021815,13089021814
13089021816,13089021812
13089021816,13089021814
13089021817,13089021805
13089021817,13089022009
13089021818,13089021805
13089021819,13089021810
13089021820,13089021810
13089021821,13089021808
13089021821,13089021809
13089021822,13089021809
13089021823,13089021806
13089021823,13089021912
13089021823,13135050431
13089021824,13089021805
13089021824,13089021806
13089021906,13089021906
13089021908,13089021908
13089021910,13089021910
13089021911,13089021911
13089021912,13089021912
13089021912,13089021913
13089021912,13135050426
13089021913,13089021911
13089021913,13089021913
13089021914,13089021907
13089021915,13089021907
13089021916,13089021909
13089021917,13089021909
13089022001,13089022001
13089022005,13089022005
13089022007,13089022001
13089022007,13089022007
13089022010,13089022008
13089022010,13089022010
13089022011,13089022008
13089022012,13089022008
13089022013,13089021805
13089022013,13089022009
13089022014,13089022009
13089022015,13089022004
13089022016,13089022004
13089022100,13089022100
13089022203,13089022203
13089022203,13089022600
13089022205,13089022204
13089022206,13089022204
13089022302,13089022302
13089022303,13089022301
13089022303,13089022600
13089022304,13089022301
13089022304,13089022302
13089022304,13089022600
13089022401,13089022401
13089022401,13121000100
13089022403,13089020200
13089022403,13089022403
13089022403,13089022500
13089022404,13089022402
13089022405,13089022402
13089022501,13089022403
13089022501,13089022500
13089022502,13089022403
13089022502,13089022500
13089022601,13089022301
13089022601,13089022600
13089022602,13089022600
13089022700,13089020801
13089022700,13089022700
13089022800,13089022800
13089022800,13089022900
13089022900,13089020802
13089022900,13089022800
13089022900,13089022900
13089023000,13089023000
13089023101,13089023101
13089023102,13089023102
13089023107,13089023107
13089023108,13089023108
13089023111,13089023111
13089023112,13089023112
13089023113,13089023113
13089023113,13089023115
13089023114,13089023114
13089023115,13089023115
13089023209,13089023209
13089023209,13089023210
13089023211,13089023211
13089023212,13089023212
13089023213,13089023213
13089023213,13089023414
13089023214,13089023214
13089023215,13089023206
13089023216,13089023206
13089023217,13089023210
13089023218,13089023210
13089023219,13089023204
13089023220,13089023204
13089023221,13089023208
13089023222,13089023208
13089023311,13089023311
13089023313,13089023313
13089023315,13089023315
13089023317,13089023303
13089023318,13089023303
13089023319,13089023310
13089023320,13089023310
13089023321,13089023310
13089023322,13089023312
13089023323,13089023312
13089023324,13089023312
13089023325,13089023316
13089023326,13089023316
13089023327,13089023309
13089023328,13089023309
13089023329,13089023306
13089023330,13089023306
13089023331,13089023314
13089023332,13089023314
13089023410,13089023410
13089023411,13089023411
13089023413,13089023413
13089023422,13089023422
13089023424,13089023423
13089023424,13089023424
13089023425,13089023419
13089023425,13089023421
13089023425,13089023425
13089023425,13089023426
13089023426,13089023419
13089023426,13089023426
13089023427,13089023427
13089023429,13089023428
13089023430,13089023428
13089023431,13089023428
13089023432,13089023418
13089023433,13089023418
13089023434,13089023418
13089023435,13089023418
13089023436,13089023419
13089023436,13089023425
13089023437,13089023419
13089023438,13089023421
13089023438,13089023425
13089023439,13089023421
13089023440,13089023418
13089023441,13089023416
13089023442,13089023414
13089023442,13089023416
13089023443,13089023423
13089023444,13089023423
13089023445,13089023412
13089023446,13089023412
13089023447,13089023414
13089023448,13089023414
13089023501,13089023501
13089023504,13089023504
13089023505,13089023505
13089023506,13089023506
13089023507,13089023507
13089023601,13089020802
13089023601,13089023601
13089023602,13089023602
13089023603,13089023603
